rank,headline,description,link
33,Elvis's granddaughter fights Graceland auction,Actress Riley Keough claims a company trying to sell the estate forged her mother's signature.,https://news.yahoo.com//entertainment/elviss-granddaughter-fights-graceland-auction-115341477.html
34,I had bariatric surgery and lost 120 pounds. It allowed me to run my first half-marathon at age 45.,"Anthony Quintano overcame obesity and depression through gastric sleeve surgery, healthy habits, and a newfound passion for running marathons.",https://news.yahoo.com//lifestyle/had-bariatric-surgery-lost-120-180551800.html
35,Israel shuts down Associated Press news agency's Gaza live feed,"The AP decries the seizure of its camera, which Israel says was producing footage used by Al Jazeera.",https://news.yahoo.com//israel-shuts-down-associated-press-180453932.html
36,Bam Adebayo named to NBA’s All-Defensive First Team for first time and makes Heat history,Bam Adebayo becomes just the third Heat player in franchise history to be named to the NBA’s All-Defensive First Team.,https://news.yahoo.com//sports/bam-adebayo-named-nba-defensive-180357994.html
37,"Kevin Kwan releases new novel, says 'Crazy Rich Asians' sequel 'in the works'","Kevin Kwan's latest novel, ""Lies and Weddings,"" was released Tuesday.  ""Lies and Weddings,"" Kwan's second entry in the “Cities” trilogy, follows a nobleman's son as he seeks a wealthy woman to marry to save his family from financial ruin.  ""Lies and Weddings"" follows Rufus Leung Gresham, the son of a British earl and a Hong Kong supermodel who must find a wealthy bride after his family spent all of his inheritance.",https://news.yahoo.com//entertainment/kevin-kwan-releases-novel-says-180130563.html
38,Can You Go to Miami on a Budget?,Here’s what you need to know.,https://news.yahoo.com//miami-budget-180000691.html
39,'Two huge factors in Celtic's favour for Hampden showdown',"The number one target for Celtic in any given season is to end the campaign as champions of Scotland.  Marshalled by serial winner Callum McGregor, there’s a steely determination about Brendan Rodgers’ side, and you get the distinct feeling they won’t be fully satisfied until they add this season’s Scottish Cup to their trophy haul.  In their quest to do so there’s two huge factors firmly in Celtic’s favour when it comes to Saturday’s clash with Rangers.",https://news.yahoo.com//sports/two-huge-factors-celtics-favour-175959783.html
40,Bumble's CEO says AI could give you fewer matches — but better ones,"Bumble wants to use generative AI to figure out how users actually interact with others. That could lead to fewer but better matches, its CEO says.",https://news.yahoo.com//tech/bumbles-ceo-says-ai-could-175841311.html
41,'It can be daunting' - Magennis in search of new club,"Northern Ireland striker Josh Magennis says he ""could end up anywhere"" as he begins life as a free agent.",https://news.yahoo.com//sports/daunting-magennis-search-club-175812278.html
42,All about Wharton - the Palace midfielder called up by England,"As Adam Wharton is included in Gareth Southgate's provisional 33-man England squad for Euro 2024, BBC Sport looks at the Crystal Palace midfielder.",https://news.yahoo.com//sports/could-palaces-wharton-englands-euros-113347614.html
43,Inquest into man found in sea records open verdict,Liam Graham's body was found off the Dutch coast months after his car crashed in Medway.,https://news.yahoo.com//inquest-man-found-sea-records-175506149.html
44,Peterborough sign forward Odoh from Harrogate,Peterborough United sign forward Abraham Odoh for an undisclosed fee from Harrogate Town.,https://news.yahoo.com//sports/peterborough-sign-forward-odoh-harrogate-175347218.html
45,"IPL 2024 play-off format and schedule, group table, top run-scorers & top wicket-takers standings","After 70 matches and more than eight weeks the Indian Premier League (IPL) group stage is complete, so how does the play-offs work and who could win the orange and purple cap?",https://news.yahoo.com//sports/ipl-2024-table-top-run-202037350.html
46,Child seriously injured after fall from window,The child is receiving care at Norfolk and Norwich University Hospitals NHS Foundation Trust.,https://news.yahoo.com//child-seriously-injured-fall-window-175045089.html
47,Ipswich Town fan has 'euphoric' BBC Radio Suffolk commentary tattooed,Andy Cumbers says Jeremy Sarmiento's goal against Southampton was a special moment.,https://news.yahoo.com//sports/ipswich-town-fan-euphoric-bbc-174849101.html
48,Woman charged after pro-Palestinian march,She is accused of a racially aggravated public order offence over a placard seen at a protest.,https://news.yahoo.com//woman-charged-pro-palestinian-march-174338855.html
49,Parents of infected blood victim to 'keep fighting',"Denise and Colin Turton said their 10-year-old son, who died of HIV, has ""not been recognised"".",https://news.yahoo.com//parents-infected-blood-victim-keep-173932702.html
50,Pogacar wins chaotic Giro stage 16 as organisers are called 'dinosaurs',"Australia’s Ben O'Connor calls the race organisers “dinosaurs” after a delayed and chaotic start to a shortened stage 16 of the Giro d’Italia, which is eventually won by race leader Tadej Pogacar.",https://news.yahoo.com//sports/pogacar-wins-chaotic-giro-stage-173921824.html
51,Stroke patient waited on trolley for 36 hours,It comes as data shows thousands waiting more than eight hours in A&E at a Brighton hospital.,https://news.yahoo.com//stroke-patient-waited-trolley-36-173822795.html
52,Town elects new mayor despite behaviour concerns,Slough Borough Council elected Conservative councillor Balwinder Dhillon at a meeting on 16 May.,https://news.yahoo.com//town-elects-mayor-despite-behaviour-173812429.html
53,Why I quit Goldman Sachs,I became a vice president at Goldman Sachs in six years. Then the 'boys club' culture drove me out.,https://news.yahoo.com//finance/news/goldman-sachs-keeps-driving-away-173501885.html
54,Young rappers spread joy with 'banger of the year',A group of energetic pre-teen Irish rappers find viral fame after a song racks up nine million views.,https://news.yahoo.com//entertainment/young-rappers-spread-joy-banger-173441035.html
55,Peloton pauses Diddy’s music from the platform,More fallout from the video of Sean “Diddy” Combs assaulting his ex-girlfriend Cassandra “Cassie” Ventura at a Los Angeles area hotel in 2016. The global fitness company Peloton is taking action and will not be using any of Combs’ music in classes moving forward. The company issued a statement to its private member Facebook page […],https://news.yahoo.com//entertainment/peloton-pauses-diddy-music-platform-173212049.html
